Variable,Date,Value,Unit
Electrical_Conductivity_20degC,15/05/20,4040,µS/cm
Nitrate,15/05/20,89.4,mg/l NO3
Phosphate,15/05/20,0.49,mg PO4/L
Electrical_Conductivity_20degC,27/05/20,6070,µS/cm
Nitrate,27/05/20,120,mg/l NO3
Phosphate,27/05/20,0.71,mg PO4/L
Electrical_Conductivity_20degC,10/06/20,5279,µS/cm
Nitrate,10/06/20,124,mg/l NO3
Phosphate,10/06/20,0.25,mg PO4/L
Electrical_Conductivity_20degC,10/06/20,5760,µS/cm
Nitrate,10/06/20,125,mg/l NO3
Phosphate,10/06/20,0,mg PO4/L
Electrical_Conductivity_20degC,22/06/20,6410,µS/cm
Nitrate,22/06/20,109,mg/l NO3
Phosphate,22/06/20,0.46,mg PO4/L
Electrical_Conductivity_20degC,06/07/20,6870,µS/cm
Nitrate,06/07/20,155,mg/l NO3
Phosphate,06/07/20,0,mg PO4/L
Electrical_Conductivity_20degC,15/07/20,7070,µS/cm
Nitrate,15/07/20,183,mg/l NO3
Phosphate,15/07/20,0,mg PO4/L
Electrical_Conductivity_20degC,20/07/20,7570,µS/cm
Nitrate,20/07/20,169,mg/l NO3
Phosphate,20/07/20,0.52,mg PO4/L
Electrical_Conductivity_20degC,04/08/20,6630,µS/cm
Nitrate,04/08/20,153,mg/l NO3
Phosphate,04/08/20,0.43,mg PO4/L
