Parameter;Date;Unit;Value
Nitrate;17/05/2016;mg/L;241
Phosphate;17/05/2016;mg/L;0.75
Conductivity_20C;15/06/2016;µS/cm;16820
Nitrate;15/06/2016;mg/L;87
Phosphate;15/06/2016;mg/L;0.36
Conductivity_20C;14/07/2016;µS/cm;17510
Nitrate;14/07/2016;mg/L;280
Phosphate;14/07/2016;mg/L;0.54
Conductivity_20C;08/08/2016;µS/cm;14960
Phosphate;08/08/2016;mg/L;0.32
Conductivity_20C;10/04/2017;µS/cm;11430
Nitrate;10/04/2017;mg/L;163
Phosphate;10/04/2017;mg/L;0
Conductivity_20C;25/04/2017;µS/cm;12980
Nitrate;25/04/2017;mg/L;182
Phosphate;25/04/2017;mg/L;0
Conductivity_20C;08/05/2017;µS/cm;12800
Nitrate;08/05/2017;mg/L;191
Phosphate;08/05/2017;mg/L;0.27
Conductivity_20C;08/05/2017;µS/cm;12570
Nitrate;08/05/2017;mg/L;182
Phosphate;08/05/2017;mg/L;0
Conductivity_20C;24/05/2017;µS/cm;12770
Nitrate;24/05/2017;mg/L;182
Phosphate;24/05/2017;mg/L;0
Conductivity_20C;29/05/2017;µS/cm;13900
Nitrate;29/05/2017;mg/L;164
Phosphate;29/05/2017;mg/L;0.1
Conductivity_20C;07/06/2017;µS/cm;14100
Nitrate;07/06/2017;mg/L;183
Phosphate;07/06/2017;mg/L;0
Conductivity_20C;23/06/2017;µS/cm;13480
Conductivity_20C;04/07/2017;µS/cm;13930
Nitrate;04/07/2017;mg/L;114
Phosphate;04/07/2017;mg/L;0.46
Conductivity_20C;12/07/2017;µS/cm;12820
Nitrate;12/07/2017;mg/L;153
Phosphate;12/07/2017;mg/L;0.55
Conductivity_20C;12/07/2017;µS/cm;17370
Nitrate;12/07/2017;mg/L;108
Phosphate;12/07/2017;mg/L;0
Conductivity_20C;20/07/2017;µS/cm;13880
Nitrate;20/07/2017;mg/L;193
Phosphate;20/07/2017;mg/L;0
Conductivity_20C;24/07/2017;µS/cm;14900
Nitrate;24/07/2017;mg/L;137
Phosphate;24/07/2017;mg/L;0.23
Conductivity_20C;02/08/2017;µS/cm;12350
Nitrate;02/08/2017;mg/L;175
Phosphate;02/08/2017;mg/L;0
Conductivity_20C;17/08/2017;µS/cm;12340
Nitrate;17/08/2017;mg/L;171
Phosphate;17/08/2017;mg/L;0
Conductivity_20C;04/09/2017;µS/cm;10220
Nitrate;04/09/2017;mg/L;166
Phosphate;04/09/2017;mg/L;0.58
Conductivity_20C;21/09/2017;µS/cm;10700
Nitrate;21/09/2017;mg/L;166
Phosphate;21/09/2017;mg/L;0
Conductivity_20C;05/10/2017;µS/cm;10150
Nitrate;05/10/2017;mg/L;170
Phosphate;05/10/2017;mg/L;0
Conductivity_20C;17/10/2017;µS/cm;11370
Nitrate;17/10/2017;mg/L;189
Phosphate;17/10/2017;mg/L;0
Conductivity_20C;23/10/2017;µS/cm;10600
Nitrate;23/10/2017;mg/L;150
Phosphate;23/10/2017;mg/L;0.25
Conductivity_20C;26/10/2017;µS/cm;11900
Nitrate;26/10/2017;mg/L;311
Phosphate;26/10/2017;mg/L;0.22
Conductivity_20C;27/10/2017;µS/cm;10380
Nitrate;27/10/2017;mg/L;148
Phosphate;27/10/2017;mg/L;0
Conductivity_20C;06/11/2017;µS/cm;8600
Nitrate;06/11/2017;mg/L;180
Phosphate;06/11/2017;mg/L;0.38
Conductivity_20C;08/11/2017;µS/cm;11580
Nitrate;08/11/2017;mg/L;195
Phosphate;08/11/2017;mg/L;0
Conductivity_20C;23/11/2017;µS/cm;9900
Nitrate;23/11/2017;mg/L;162
Phosphate;23/11/2017;mg/L;0
Nitrate;05/12/2017;mg/L;165
Phosphate;05/12/2017;mg/L;0
Nitrate;18/12/2017;mg/L;166
Phosphate;18/12/2017;mg/L;0
Conductivity_20C;19/12/2017;µS/cm;16600
Nitrate;19/12/2017;mg/L;165
Phosphate;19/12/2017;mg/L;0
Conductivity_20C;03/01/2018;µS/cm;9650
Nitrate;03/01/2018;mg/L;188
Phosphate;03/01/2018;mg/L;0
Nitrate;17/01/2018;mg/L;179
Conductivity_20C;02/02/2018;µS/cm;8090
Nitrate;02/02/2018;mg/L;124
Phosphate;02/02/2018;mg/L;0
Conductivity_20C;16/02/2018;µS/cm;8620
Nitrate;16/02/2018;mg/L;152
Phosphate;16/02/2018;mg/L;0
Conductivity_20C;19/02/2018;µS/cm;8450
Nitrate;19/02/2018;mg/L;167
Phosphate;19/02/2018;mg/L;0
Conductivity_20C;06/03/2018;µS/cm;9650
Nitrate;06/03/2018;mg/L;186
Phosphate;06/03/2018;mg/L;0
Conductivity_20C;16/03/2018;µS/cm;8610
Nitrate;16/03/2018;mg/L;146
Phosphate;16/03/2018;mg/L;0
Conductivity_20C;28/03/2018;µS/cm;10600
Nitrate;28/03/2018;mg/L;190
Phosphate;28/03/2018;mg/L;0
Conductivity_20C;11/04/2018;µS/cm;11100
Nitrate;11/04/2018;mg/L;174
Phosphate;11/04/2018;mg/L;0
Conductivity_20C;16/04/2018;µS/cm;9620
Nitrate;16/04/2018;mg/L;192
Phosphate;16/04/2018;mg/L;0
Nitrate;18/04/2018;mg/L;342
Phosphate;18/04/2018;mg/L;0
Conductivity_20C;26/04/2018;µS/cm;9520
Nitrate;26/04/2018;mg/L;131
Phosphate;26/04/2018;mg/L;0
Nitrate;02/05/2018;mg/L;71.2
Phosphate;02/05/2018;mg/L;0
Conductivity_20C;08/05/2018;µS/cm;8970
Nitrate;08/05/2018;mg/L;112
Phosphate;08/05/2018;mg/L;0
Conductivity_20C;11/05/2018;µS/cm;8720
Nitrate;11/05/2018;mg/L;115
Phosphate;11/05/2018;mg/L;0
Conductivity_20C;28/05/2018;µS/cm;8820
Nitrate;28/05/2018;mg/L;112
Phosphate;28/05/2018;mg/L;0
Conductivity_20C;11/06/2018;µS/cm;8190
Nitrate;11/06/2018;mg/L;98
Phosphate;11/06/2018;mg/L;0
Conductivity_20C;12/06/2018;µS/cm;9260
Nitrate;12/06/2018;mg/L;110
Phosphate;12/06/2018;mg/L;0
Conductivity_20C;25/06/2018;µS/cm;13030
Nitrate;25/06/2018;mg/L;218
Phosphate;25/06/2018;mg/L;1.32
Conductivity_20C;09/07/2018;µS/cm;9020
Nitrate;09/07/2018;mg/L;94.8
Phosphate;09/07/2018;mg/L;0
Conductivity_20C;17/07/2018;µS/cm;9270
Nitrate;17/07/2018;mg/L;88
Phosphate;17/07/2018;mg/L;0
Conductivity_20C;23/07/2018;µS/cm;8860
Nitrate;23/07/2018;mg/L;92
Phosphate;23/07/2018;mg/L;0
Conductivity_20C;06/08/2018;µS/cm;8860
Nitrate;06/08/2018;mg/L;97.2
Phosphate;06/08/2018;mg/L;0
Conductivity_20C;16/08/2018;µS/cm;10680
Nitrate;16/08/2018;mg/L;157
Phosphate;16/08/2018;mg/L;0.08
Conductivity_20C;20/08/2018;µS/cm;9470
Nitrate;20/08/2018;mg/L;154
Phosphate;20/08/2018;mg/L;0
Conductivity_20C;03/09/2018;µS/cm;8760
Nitrate;03/09/2018;mg/L;114
Phosphate;03/09/2018;mg/L;0
Conductivity_20C;12/09/2018;µS/cm;6330
Nitrate;12/09/2018;mg/L;86
Phosphate;12/09/2018;mg/L;0.21
Conductivity_20C;17/09/2018;µS/cm;6330
Nitrate;17/09/2018;mg/L;90
Phosphate;17/09/2018;mg/L;1.13
Conductivity_20C;01/10/2018;µS/cm;7790
Nitrate;01/10/2018;mg/L;120
Phosphate;01/10/2018;mg/L;0
Conductivity_20C;15/10/2018;µS/cm;3710
Nitrate;15/10/2018;mg/L;47.2
Phosphate;15/10/2018;mg/L;1.17
Conductivity_20C;29/10/2018;µS/cm;8020
Nitrate;29/10/2018;mg/L;152
Phosphate;29/10/2018;mg/L;0
Conductivity_20C;29/10/2018;µS/cm;10332
Nitrate;29/10/2018;mg/L;170
Phosphate;29/10/2018;mg/L;0.09
Conductivity_20C;08/11/2018;µS/cm;9720
Nitrate;08/11/2018;mg/L;164
Phosphate;08/11/2018;mg/L;0.18
Conductivity_20C;12/11/2018;µS/cm;8260
Nitrate;12/11/2018;mg/L;187
Phosphate;12/11/2018;mg/L;0
Conductivity_20C;26/11/2018;µS/cm;6640
Nitrate;26/11/2018;mg/L;127
Phosphate;26/11/2018;mg/L;0.86
Conductivity_20C;12/12/2018;µS/cm;7800
Nitrate;12/12/2018;mg/L;133
Phosphate;12/12/2018;mg/L;0
Conductivity_20C;21/12/2018;µS/cm;8030
Nitrate;21/12/2018;mg/L;93
Phosphate;21/12/2018;mg/L;0.04
Conductivity_20C;26/12/2018;µS/cm;7940
Nitrate;26/12/2018;mg/L;149
Phosphate;26/12/2018;mg/L;0
Conductivity_20C;09/01/2019;µS/cm;7790
Nitrate;09/01/2019;mg/L;147
Phosphate;09/01/2019;mg/L;0
Conductivity_20C;17/01/2019;µS/cm;9020
Nitrate;17/01/2019;mg/L;136
Phosphate;17/01/2019;mg/L;0.05
Conductivity_20C;21/01/2019;µS/cm;7480
Nitrate;21/01/2019;mg/L;137
Phosphate;21/01/2019;mg/L;0
Conductivity_20C;24/01/2019;µS/cm;6190
Nitrate;24/01/2019;mg/L;162
Conductivity_20C;29/01/2019;µS/cm;6500
Nitrate;29/01/2019;mg/L;146
Conductivity_20C;05/02/2019;µS/cm;9530
Nitrate;05/02/2019;mg/L;158
Conductivity_20C;18/02/2019;µS/cm;8580
Nitrate;18/02/2019;mg/L;116
Conductivity_20C;18/02/2019;µS/cm;9330
Nitrate;18/02/2019;mg/L;193
Phosphate;18/02/2019;mg/L;0.06
Conductivity_20C;04/03/2019;µS/cm;8310
Phosphate;04/03/2019;mg/L;0
Conductivity_20C;18/03/2019;µS/cm;8916
Nitrate;18/03/2019;mg/L;174
Phosphate;18/03/2019;mg/L;0
Conductivity_20C;20/03/2019;µS/cm;8340
Nitrate;20/03/2019;mg/L;146
Phosphate;20/03/2019;mg/L;0
Conductivity_20C;01/04/2019;µS/cm;5220
Nitrate;01/04/2019;mg/L;83
Phosphate;01/04/2019;mg/L;0
Conductivity_20C;09/04/2019;µS/cm;6378
Nitrate;09/04/2019;mg/L;58
Phosphate;09/04/2019;mg/L;0.04
Conductivity_20C;15/04/2019;µS/cm;7340
Nitrate;15/04/2019;mg/L;128
Phosphate;15/04/2019;mg/L;0
Conductivity_20C;29/04/2019;µS/cm;7180
Nitrate;29/04/2019;mg/L;161
Phosphate;29/04/2019;mg/L;0
Nitrate;03/05/2019;mg/L;171
Phosphate;03/05/2019;mg/L;0
Conductivity_20C;13/05/2019;µS/cm;7000
Nitrate;13/05/2019;mg/L;148
Phosphate;13/05/2019;mg/L;0
Conductivity_20C;21/05/2019;µS/cm;7920
Nitrate;21/05/2019;mg/L;162
Phosphate;21/05/2019;mg/L;0
Conductivity_20C;27/05/2019;µS/cm;7440
Nitrate;27/05/2019;mg/L;160
Phosphate;27/05/2019;mg/L;0
Conductivity_20C;12/06/2019;µS/cm;7550
Nitrate;12/06/2019;mg/L;143.2
Phosphate;12/06/2019;mg/L;0
Conductivity_20C;13/06/2019;µS/cm;8460
Nitrate;13/06/2019;mg/L;121
Phosphate;13/06/2019;mg/L;0
Conductivity_20C;24/06/2019;µS/cm;7340
Nitrate;24/06/2019;mg/L;125
Phosphate;24/06/2019;mg/L;0
Conductivity_20C;08/07/2019;µS/cm;7290
Nitrate;08/07/2019;mg/L;135
Phosphate;08/07/2019;mg/L;0
Conductivity_20C;11/07/2019;µS/cm;7928
Nitrate;11/07/2019;mg/L;128
Phosphate;11/07/2019;mg/L;0
Conductivity_20C;22/07/2019;µS/cm;7260
Nitrate;22/07/2019;mg/L;140
Phosphate;22/07/2019;mg/L;0
Conductivity_20C;05/08/2019;µS/cm;7270
Nitrate;05/08/2019;mg/L;132
Phosphate;05/08/2019;mg/L;0
Conductivity_20C;08/08/2019;µS/cm;7946
Nitrate;08/08/2019;mg/L;108
Phosphate;08/08/2019;mg/L;0.1
Conductivity_20C;19/08/2019;µS/cm;7310
Nitrate;19/08/2019;mg/L;103
Phosphate;19/08/2019;mg/L;0
Conductivity_20C;02/09/2019;µS/cm;7170
Nitrate;02/09/2019;mg/L;79.2
Phosphate;02/09/2019;mg/L;0
Conductivity_20C;05/09/2019;µS/cm;8120
Nitrate;05/09/2019;mg/L;95
Phosphate;05/09/2019;mg/L;0.12
Conductivity_20C;02/10/2019;µS/cm;6690
Nitrate;02/10/2019;mg/L;97.4
Phosphate;02/10/2019;mg/L;0
Nitrate;13/10/2019;mg/L;156
Phosphate;13/10/2019;mg/L;0
Conductivity_20C;15/10/2019;µS/cm;7120
Nitrate;15/10/2019;mg/L;150
Phosphate;15/10/2019;mg/L;0
Conductivity_20C;24/10/2019;µS/cm;6500
Nitrate;24/10/2019;mg/L;117
Phosphate;24/10/2019;mg/L;0.06
Conductivity_20C;30/10/2019;µS/cm;6950
Nitrate;30/10/2019;mg/L;152
Phosphate;30/10/2019;mg/L;0
Conductivity_20C;07/11/2019;µS/cm;6610
Nitrate;07/11/2019;mg/L;141
Phosphate;07/11/2019;mg/L;0
Conductivity_20C;09/11/2019;µS/cm;7020
Nitrate;09/11/2019;mg/L;180
Phosphate;09/11/2019;mg/L;0
Conductivity_20C;11/11/2019;µS/cm;7340
Nitrate;11/11/2019;mg/L;176
Phosphate;11/11/2019;mg/L;0
Conductivity_20C;14/11/2019;µS/cm;8750
Nitrate;14/11/2019;mg/L;202
Phosphate;14/11/2019;mg/L;0
Conductivity_20C;25/11/2019;µS/cm;6850
Nitrate;25/11/2019;mg/L;164
Phosphate;25/11/2019;mg/L;0
Nitrate;27/11/2019;mg/L;158
Phosphate;27/11/2019;mg/L;0
Conductivity_20C;19/12/2019;µS/cm;6953
Nitrate;19/12/2019;mg/L;165.82
Phosphate;19/12/2019;mg/L;0.13
Conductivity_20C;26/12/2019;µS/cm;6120
Nitrate;26/12/2019;mg/L;152
Phosphate;26/12/2019;mg/L;0
Conductivity_20C;07/01/2020;µS/cm;7040
Nitrate;07/01/2020;mg/L;177
Phosphate;07/01/2020;mg/L;0
Conductivity_20C;20/01/2020;µS/cm;2098
Nitrate;20/01/2020;mg/L;34.74
Phosphate;20/01/2020;mg/L;0.61
Conductivity_20C;24/01/2020;µS/cm;6190
Nitrate;24/01/2020;mg/L;162
Phosphate;24/01/2020;mg/L;0
Conductivity_20C;03/02/2020;µS/cm;6980
Nitrate;03/02/2020;mg/L;169
Phosphate;03/02/2020;mg/L;0
Conductivity_20C;17/02/2020;µS/cm;6900
Nitrate;17/02/2020;mg/L;170
Phosphate;17/02/2020;mg/L;0
Conductivity_20C;27/02/2020;µS/cm;6868
Nitrate;27/02/2020;mg/L;171
Phosphate;27/02/2020;mg/L;0
Conductivity_20C;04/03/2020;µS/cm;7280
Nitrate;04/03/2020;mg/L;171
Phosphate;04/03/2020;mg/L;0
Conductivity_20C;12/03/2020;µS/cm;6733
Nitrate;12/03/2020;mg/L;130
Phosphate;12/03/2020;mg/L;0.08
Conductivity_20C;01/04/2020;µS/cm;6050
Nitrate;01/04/2020;mg/L;142
Phosphate;01/04/2020;mg/L;0.8
Conductivity_20C;16/04/2020;µS/cm;5740
Nitrate;16/04/2020;mg/L;107
Phosphate;16/04/2020;mg/L;0.64
Conductivity_20C;17/04/2020;µS/cm;6503
Nitrate;17/04/2020;mg/L;101
Phosphate;17/04/2020;mg/L;0.08
Conductivity_20C;27/04/2020;µS/cm;6640
Nitrate;27/04/2020;mg/L;149
Phosphate;27/04/2020;mg/L;0
Conductivity_20C;08/05/2020;µS/cm;6310
Nitrate;08/05/2020;mg/L;129
Phosphate;08/05/2020;mg/L;0
Conductivity_20C;15/05/2020;µS/cm;4040
Nitrate;15/05/2020;mg/L;89.4
Phosphate;15/05/2020;mg/L;0.49
Conductivity_20C;27/05/2020;µS/cm;6070
Nitrate;27/05/2020;mg/L;120
Phosphate;27/05/2020;mg/L;0.71
Conductivity_20C;10/06/2020;µS/cm;5279
Nitrate;10/06/2020;mg/L;124
Phosphate;10/06/2020;mg/L;0.25
Conductivity_20C;10/06/2020;µS/cm;5760
Nitrate;10/06/2020;mg/L;125
Phosphate;10/06/2020;mg/L;0
Conductivity_20C;22/06/2020;µS/cm;6410
Nitrate;22/06/2020;mg/L;109
Phosphate;22/06/2020;mg/L;0.46
Conductivity_20C;06/07/2020;µS/cm;6870
Nitrate;06/07/2020;mg/L;155
Phosphate;06/07/2020;mg/L;0
Conductivity_20C;15/07/2020;µS/cm;7070
Nitrate;15/07/2020;mg/L;183
Phosphate;15/07/2020;mg/L;0
Conductivity_20C;20/07/2020;µS/cm;7570
Nitrate;20/07/2020;mg/L;169
Phosphate;20/07/2020;mg/L;0.52
Conductivity_20C;04/08/2020;µS/cm;6630
Nitrate;04/08/2020;mg/L;153
Phosphate;04/08/2020;mg/L;0.43
Conductivity_20C;13/08/2020;µS/cm;7011
Nitrate;13/08/2020;mg/L;144.4
Phosphate;13/08/2020;mg/L;0.13
Conductivity_20C;19/08/2020;µS/cm;7040
Nitrate;19/08/2020;mg/L;136
Phosphate;19/08/2020;mg/L;0
Conductivity_20C;01/09/2020;µS/cm;6470
Nitrate;01/09/2020;mg/L;115
Phosphate;01/09/2020;mg/L;0
Conductivity_20C;02/09/2020;µS/cm;7243
Nitrate;02/09/2020;mg/L;161
Phosphate;02/09/2020;mg/L;0.09
Conductivity_20C;14/09/2020;µS/cm;6950
Nitrate;14/09/2020;mg/L;149
Phosphate;14/09/2020;mg/L;0
Conductivity_20C;28/09/2020;µS/cm;7720
Nitrate;28/09/2020;mg/L;243
Phosphate;28/09/2020;mg/L;0
Conductivity_20C;14/10/2020;µS/cm;7140
Nitrate;14/10/2020;mg/L;163
Phosphate;14/10/2020;mg/L;0
Conductivity_20C;21/10/2020;µS/cm;7033
Nitrate;21/10/2020;mg/L;90
Phosphate;21/10/2020;mg/L;0.17
Conductivity_20C;26/10/2020;µS/cm;11980
Phosphate;26/10/2020;mg/L;0
Conductivity_20C;09/11/2020;µS/cm;7590
Nitrate;09/11/2020;mg/L;185
Phosphate;09/11/2020;mg/L;0
Nitrate;09/11/2020;mg/L;195
Nitrate;13/11/2020;mg/L;40.9
Phosphate;13/11/2020;mg/L;0
Conductivity_20C;23/11/2020;µS/cm;7780
Nitrate;23/11/2020;mg/L;226
Phosphate;23/11/2020;mg/L;0
Conductivity_20C;09/12/2020;µS/cm;7880
Nitrate;09/12/2020;mg/L;224
Conductivity_20C;17/12/2020;µS/cm;7494
Nitrate;17/12/2020;mg/L;189
Phosphate;17/12/2020;mg/L;0
Conductivity_20C;22/12/2020;µS/cm;7250
Nitrate;22/12/2020;mg/L;179
Phosphate;22/12/2020;mg/L;0
Nitrate;05/01/2021;mg/L;199
Phosphate;05/01/2021;mg/L;0
Conductivity_20C;18/01/2021;µS/cm;7240
Nitrate;18/01/2021;mg/L;203
Phosphate;18/01/2021;mg/L;0
Conductivity_20C;21/01/2021;µS/cm;3069
Nitrate;21/01/2021;mg/L;190
Phosphate;21/01/2021;mg/L;0
Conductivity_20C;01/02/2021;µS/cm;7210
Nitrate;01/02/2021;mg/L;192
Phosphate;01/02/2021;mg/L;0
Conductivity_20C;10/02/2021;µS/cm;7269
Nitrate;10/02/2021;mg/L;252
Phosphate;10/02/2021;mg/L;0
Conductivity_20C;18/02/2021;µS/cm;7440
Nitrate;18/02/2021;mg/L;197
Phosphate;18/02/2021;mg/L;0
Conductivity_20C;01/03/2021;µS/cm;7090
Nitrate;01/03/2021;mg/L;184
Phosphate;01/03/2021;mg/L;0
Nitrate;09/03/2021;mg/L;23.5
Phosphate;09/03/2021;mg/L;0
Conductivity_20C;15/03/2021;µS/cm;6810
Nitrate;15/03/2021;mg/L;187
Phosphate;15/03/2021;mg/L;0
Conductivity_20C;29/03/2021;µS/cm;7260
Nitrate;29/03/2021;mg/L;258
Phosphate;29/03/2021;mg/L;0.08
Conductivity_20C;30/03/2021;µS/cm;7410
Nitrate;30/03/2021;mg/L;212
Phosphate;30/03/2021;mg/L;0
Conductivity_20C;12/04/2021;µS/cm;6490
Nitrate;12/04/2021;mg/L;146
Phosphate;12/04/2021;mg/L;0
